z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
1.213537082076072693e-01,1.324943304061889648e-01,1.121723022460937500e+02,1.197305755615234375e+02,2.725274562835693359e-01,2.908906042575836182e-01
1.218048334121704102e-01,1.329868733882904053e-01,1.047058181762695312e+02,1.120623092651367188e+02,2.543873190879821777e-01,2.722602188587188721e-01
1.222559586167335510e-01,1.334794163703918457e-01,9.686390686035156250e+01,1.044238128662109375e+02,2.353350520133972168e-01,2.537021636962890625e-01
1.227070838212966919e-01,1.339719593524932861e-01,8.954472351074218750e+01,9.681596374511718750e+01,2.175527811050415039e-01,2.352185696363449097e-01
1.231582090258598328e-01,1.344644874334335327e-01,8.183330535888671875e+01,8.923715972900390625e+01,1.988175511360168457e-01,2.168055325746536255e-01
1.236093342304229736e-01,1.349570304155349731e-01,7.428874969482421875e+01,8.168898010253906250e+01,1.804877221584320068e-01,1.984669119119644165e-01
1.240604594349861145e-01,1.354495733976364136e-01,6.697110748291015625e+01,7.417137145996093750e+01,1.627092063426971436e-01,1.802025586366653442e-01
1.245115846395492554e-01,1.359421163797378540e-01,5.935668182373046875e+01,6.668666839599609375e+01,1.442096233367919922e-01,1.620181351900100708e-01
1.249627098441123962e-01,1.364346593618392944e-01,5.203937530517578125e+01,5.923162841796875000e+01,1.264319121837615967e-01,1.439058035612106323e-01
1.254138350486755371e-01,1.369271874427795410e-01,4.463554000854492188e+01,5.181168365478515625e+01,1.084439754486083984e-01,1.258787214756011963e-01
1.258649677038192749e-01,1.374197453260421753e-01,3.723465347290039062e+01,4.442354202270507812e+01,9.046319872140884399e-02,1.079289168119430542e-01
1.263160854578018188e-01,1.379122734069824219e-01,3.001446151733398438e+01,3.706947326660156250e+01,7.292143255472183228e-02,9.006188809871673584e-02
1.267672181129455566e-01,1.384048163890838623e-01,2.269804954528808594e+01,2.974773979187011719e+01,5.514589324593544006e-02,7.227341830730438232e-02
1.272183358669281006e-01,1.388973593711853027e-01,1.543369007110595703e+01,2.246053504943847656e+01,3.749681636691093445e-02,5.456884205341339111e-02
1.276694685220718384e-01,1.393899023532867432e-01,8.357897758483886719e+00,1.520767688751220703e+01,2.030587382614612579e-02,3.694770857691764832e-02
1.281205862760543823e-01,1.398824304342269897e-01,1.950455784797668457e+00,7.989747047424316406e+00,4.738716408610343933e-03,1.941143535077571869e-02
1.285717189311981201e-01,1.403749734163284302e-01,6.244120121002197266e+00,8.073146343231201172e-01,1.517035998404026031e-02,1.961405854672193527e-03
1.290228366851806641e-01,1.408675163984298706e-01,1.332406711578369141e+01,6.338280200958251953e+00,3.237139806151390076e-02,1.539912540465593338e-02
1.294739693403244019e-01,1.413600593805313110e-01,2.041019630432128906e+01,1.345121574401855469e+01,4.958745464682579041e-02,3.268031030893325806e-02
1.299250870943069458e-01,1.418525874614715576e-01,2.736332702636718750e+01,2.052547264099121094e+01,6.648038327693939209e-02,4.986752197146415710e-02
1.303762197494506836e-01,1.423451453447341919e-01,3.436385345458984375e+01,2.756448745727539062e+01,8.348846435546875000e-02,6.696911156177520752e-02
1.308273375034332275e-01,1.428376734256744385e-01,4.147461700439453125e+01,3.456774902343750000e+01,1.007643714547157288e-01,8.398383855819702148e-02
1.312784701585769653e-01,1.433302164077758789e-01,4.818582153320312500e+01,4.153319931030273438e+01,1.170695349574089050e-01,1.009066998958587646e-01
