theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
1.275000000000000000e+01,1.038979340467503221e+02,1.026378064635629528e+02,4.725244978929588058e-02,4.065970180758471386e-02,4.430387324118378878e+00,3.832086614875793273e+00,4.356820059859940919e+00,-8.040216462949463239e-01,4.000000000000000000e+00
1.300000000000000000e+01,1.058002233690083642e+02,1.050638235275587107e+02,5.882186572128972335e-02,5.376071579234247694e-02,5.515135182083829690e+00,5.066828093548557455e+00,5.268142487730838930e+00,-1.631989830122714480e+00,4.000000000000000000e+00
1.325000000000000000e+01,1.073018485169235987e+02,1.068203993987147555e+02,6.992299994582984457e-02,6.581029476560996960e-02,6.555976970627045652e+00,6.202474156986573561e+00,6.100780560830188826e+00,-2.400273023634740710e+00,4.000000000000000000e+00
1.350000000000000000e+01,1.085014530562742863e+02,1.081628074628447536e+02,8.027869051481534290e-02,7.680937640873700123e-02,7.526925999384466159e+00,7.239113179575040746e+00,6.854956596295305182e+00,-3.108727241672598840e+00,4.000000000000000000e+00
1.375000000000000000e+01,1.094716930484697883e+02,1.092211826648124031e+02,8.976608393063047198e-02,8.676268817361235119e-02,8.416463530576621110e+00,8.177190713157678204e+00,7.531177495627479956e+00,-3.757422506304088028e+00,4.000000000000000000e+00
1.400000000000000000e+01,1.102629742662030594e+02,1.100708224662114390e+02,9.832780406754708380e-02,9.567863909109317055e-02,9.219209981530728015e+00,9.017499290221426378e+00,8.130225923665985732e+00,-4.346637679138368071e+00,4.000000000000000000e+00
1.425000000000000178e+01,1.109105430553853466e+02,1.107591349284894875e+02,1.059387342561235457e-01,1.035691978226221666e-01,9.932810414578700176e+00,9.761166930532134245e+00,8.653150451751331573e+00,-4.876854518162172525e+00,4.000000000000000000e+00
1.450000000000000178e+01,1.114395881317636281e+02,1.113178180366119250e+02,1.125918703388458647e-01,1.104497578121834273e-01,1.055660812026304640e+01,1.040964443200581968e+01,9.101254733572547551e+00,-5.348751001815939432e+00,4.000000000000000000e+00
1.475000000000000178e+01,1.118685257281208436e+02,1.117690284942767107e+02,1.182916019914852512e-01,1.163389904436789440e-01,1.109101467436408228e+01,1.096469153111744887e+01,9.476085785828471941e+00,-5.763193965725861290e+00,4.000000000000000000e+00
1.499999999999999822e+01,1.122110945330676088e+02,1.121287799160554073e+02,1.230502084129429102e-01,1.212586871508733316e-01,1.153718137395539500e+01,1.142836202211380225e+01,9.779421448979620735e+00,-6.121231099932481712e+00,4.000000000000000000e+00
1.525000000000000000e+01,1.124777126017403646e+02,1.124089393884894292e+02,1.268858686144970771e-01,1.252335914631443059e-01,1.189681268222336108e+01,1.180298792769838911e+01,1.001325710605986075e+01,-6.424082356558971973e+00,4.000000000000000000e+00
1.550000000000000000e+01,1.126763756683788387e+02,1.126184615163384422e+02,1.298214365008991400e-01,1.282912220003024351e-01,1.217205138013211929e+01,1.209116281668622150e+01,1.017979173972922702e+01,-6.673130819661549751e+00,4.000000000000000000e+00
1.575000000000000000e+01,1.128132649542991999e+02,1.127641825102502366e+02,1.318836246563800940e-01,1.304616874536662918e-01,1.236540203824042194e+01,1.229572436638097166e+01,1.028141340946438653e+01,-6.869913090498762642e+00,4.000000000000000000e+00
1.600000000000000000e+01,1.128931663031462449e+02,1.128513476055255040e+02,1.331024170736222201e-01,1.317774946083840604e-01,1.247967595419946818e+01,1.241973626910503903e+01,1.032068423202304785e+01,-7.016109242642621702e+00,4.000000000000000000e+00
1.625000000000000000e+01,1.129197634132606396e+02,1.128839697649743101e+02,1.335106153662779793e-01,1.322733504737201304e-01,1.251794860566141487e+01,1.246646958341841582e+01,1.030032494908940421e+01,-7.113532402199833626e+00,4.000000000000000000e+00
1.650000000000000000e+01,1.128958446031406737e+02,1.128650773637943701e+02,1.331434656230630897e-01,1.319859595937350194e-01,1.248352466413783546e+01,1.243938363110031808e+01,1.022319916626628888e+01,-7.164118009007803600e+00,4.000000000000000000e+00
1.675000000000000000e+01,1.128234482896371418e+02,1.127968859513050148e+02,1.320383356663721308e-01,1.309538176105862206e-01,1.237990773478370521e+01,1.234210654094866122e+01,1.009229734739773932e+01,-7.169912814913858234e+00,4.000000000000000000e+00
1.700000000000000000e+01,1.127039633978398854e+02,1.126809159008704455e+02,1.302344249810128418e-01,1.292170021467017316e-01,1.221077315933005281e+01,1.217841553988924197e+01,9.910720647545602446e+00,-7.133063675232999223e+00,4.000000000000000000e+00
1.725000000000000000e+01,1.125381950860295177e+02,1.125180695846975709e+02,1.277724967544635881e-01,1.268169620604911729e-01,1.197994289219194819e+01,1.195221709079443784e+01,9.681664666846225842e+00,-7.055806189155264363e+00,4.000000000000000000e+00
1.750000000000000000e+01,1.123264021813195654e+02,1.123086764026430018e+02,1.246946257296153437e-01,1.237963061132683479e-01,1.169136185915420967e+01,1.166752697480991152e+01,9.408403205930241597e+00,-6.940453244300933022e+00,4.000000000000000000e+00
1.775000000000000000e+01,1.120683097976156972e+02,1.120525102907753023e+02,1.210439581832586514e-01,1.201985920628810683e-01,1.134907545296637821e+01,1.132845041389750840e+01,9.094272101646000195e+00,-6.789383519756947649e+00,4.000000000000000000e+00
1.800000000000000000e+01,1.117630982292560162e+02,1.117487814680182368e+02,1.168644820048316962e-01,1.160681171724347593e-01,1.095720797593766171e+01,1.093916232674761169e+01,8.742653219474796344e+00,-6.605030000837156301e+00,4.000000000000000000e+00
1.825000000000000000e+01,1.114093669918501632e+02,1.113961016184213406e+02,1.122008059602004754e-01,1.114497110907390343e-01,1.051994194372002056e+01,1.050388780822111912e+01,8.356958676314240719e+00,-6.389868557459996268e+00,4.000000000000000000e+00
