# Field minima and maxima
# Time                	min(U)                	max(U)                
0.0028545             	4.77617648068456e-01	2.74694769205545e+00
0.002855              	4.77544824883996e-01	2.74656308383449e+00
0.0028555             	4.77469568523468e-01	2.74617734686690e+00
0.002856              	4.77391814651107e-01	2.74579199209987e+00
0.0028565             	4.77311091183383e-01	2.74540602554556e+00
0.002857              	4.77226964413503e-01	2.74501992902885e+00
0.0028575             	4.77139216067697e-01	2.74463341385191e+00
0.002858              	4.77047055920268e-01	2.74424654458807e+00
0.0028585             	4.76958282767345e-01	2.74390125481095e+00
0.002859              	4.76900384907123e-01	2.74356073442323e+00
0.0028595             	4.76827065810686e-01	2.74322352382705e+00
0.00286               	4.76743417532836e-01	2.74288776398969e+00
0.0028605             	4.76651409119433e-01	2.74255258159826e+00
0.002861              	4.76551481880667e-01	2.74221739982025e+00
0.0028615             	4.76444688900002e-01	2.74188178193416e+00
0.002862              	4.76331588763804e-01	2.74154538863513e+00
0.0028625             	4.76212838236709e-01	2.74120793886397e+00
0.002863              	4.76089181422940e-01	2.74086918782198e+00
0.0028635             	4.75961684345497e-01	2.74052892112593e+00
0.002864              	4.75831294194175e-01	2.74018741026517e+00
0.0028645             	4.75698997812561e-01	2.73993355632732e+00
0.002865              	4.75565855638155e-01	2.74077028123380e+00
0.0028655             	4.75432457166386e-01	2.74160327150810e+00
0.002866              	4.75298823112136e-01	2.74243233135989e+00
0.0028665             	4.75166013863957e-01	2.74325731295780e+00
0.002867              	4.75034884691880e-01	2.74407810080394e+00
0.0028675             	4.74906086487460e-01	2.74489434782784e+00
0.002868              	4.74780198259449e-01	2.74570572115064e+00
0.0028685             	4.74657559595431e-01	2.74651172968873e+00
0.002869              	4.74540510746669e-01	2.74731210087729e+00
0.0028695             	4.74490602095156e-01	2.74810643377989e+00
0.00287               	4.74433462430686e-01	2.74889461305717e+00
0.0028705             	4.74369859883599e-01	2.74967631847641e+00
0.002871              	4.74301132590933e-01	2.75045127449166e+00
0.0028715             	4.74228706838984e-01	2.75121907417676e+00
0.002872              	4.74154024483930e-01	2.75197943628525e+00
0.0028725             	4.74078345736538e-01	2.75273208947069e+00
0.002873              	4.74003015131546e-01	2.75347666187729e+00
0.0028735             	4.73929021432700e-01	2.75421295937833e+00
0.002874              	4.73857257790702e-01	2.75494044256154e+00
0.0028745             	4.73788430119057e-01	2.75565934825586e+00
0.002875              	4.73722981734525e-01	2.75636929414653e+00
0.0028755             	4.73661539424430e-01	2.75707021378945e+00
0.002876              	4.73604536289607e-01	2.75776162953201e+00
0.0028765             	4.73552263437663e-01	2.75844366919190e+00
0.002877              	4.73505119279387e-01	2.75911596883910e+00
0.0028775             	4.73463253356920e-01	2.75979249502808e+00
0.002878              	4.73426895404160e-01	2.76046156426787e+00
0.0028785             	4.73396061931259e-01	2.76112105642743e+00
0.002879              	4.73370744529021e-01	2.76177018739959e+00
0.0028795             	4.73351013705992e-01	2.76240846146681e+00
0.00288               	4.73336797174485e-01	2.76303565471720e+00
0.0028805             	4.73328222315934e-01	2.76365160115365e+00
0.002881              	4.73325220602857e-01	2.76425599084297e+00
0.0028815             	4.73327616597259e-01	2.76484855907017e+00
0.002882              	4.73335214942652e-01	2.76542926283443e+00
0.0028825             	4.73347840291763e-01	2.76599790401238e+00
0.002883              	4.73365279059608e-01	2.76655463263737e+00
0.0028835             	4.73387272552928e-01	2.76709927979265e+00
0.002884              	4.73413664758092e-01	2.76763180320060e+00
0.0028845             	4.73444474771145e-01	2.76815215129779e+00
0.002885              	4.73479461956593e-01	2.76866027381730e+00
0.0028855             	4.73518415271217e-01	2.76915616516822e+00
0.002886              	4.73561283687946e-01	2.76963981762759e+00
0.0028865             	4.73607904132936e-01	2.77011124853090e+00
0.002887              	4.73658189299675e-01	2.77057046141267e+00
0.0028875             	4.73711760689359e-01	2.77101751700433e+00
0.002888              	4.73768842012843e-01	2.77145244514841e+00
0.0028885             	4.73829313245955e-01	2.77187531978321e+00
0.002889              	4.73850792536236e-01	2.77228605891147e+00
0.0028895             	4.73592320549917e-01	2.77268495010387e+00
0.00289               	4.73339676568256e-01	2.77307233389573e+00
0.0028905             	4.73093030856816e-01	2.77344823924102e+00
0.002891              	4.72852336949322e-01	2.77381337044191e+00
0.0028915             	4.72617636188573e-01	2.77416634619410e+00
0.002892              	4.72389002829550e-01	2.77450901308078e+00
0.0028925             	4.72166374606451e-01	2.77483940087802e+00
0.002893              	4.71949771557348e-01	2.77515944858575e+00
0.0028935             	4.71739257603809e-01	2.77546781032854e+00
0.002894              	4.71534869189702e-01	2.77576705227075e+00
0.0028945             	4.71336588838083e-01	2.77605437489957e+00
0.002895              	4.71144435387864e-01	2.77633257682446e+00
0.0028955             	4.70958352779149e-01	2.77659923558063e+00
0.002896              	4.70778331661199e-01	2.77685699790725e+00
0.0028965             	4.70604382742316e-01	2.77710370402047e+00
0.002897              	4.70436564896894e-01	2.77734134198105e+00
0.0028975             	4.70274828296249e-01	2.77756835299573e+00
0.002898              	4.70119164304950e-01	2.77778648579087e+00
0.0028985             	4.69969602863337e-01	2.77799440304822e+00
0.002899              	4.69825993590140e-01	2.77819382171342e+00
0.0028995             	4.69688384284625e-01	2.77838383769427e+00
0.0029                	4.69556727336248e-01	2.77856517370816e+00
0.0029005             	4.69431020463311e-01	2.77873747337373e+00
0.002901              	4.69311259334665e-01	2.77890124654784e+00
0.0029015             	4.69197577812892e-01	2.77905625001715e+00
0.002902              	4.69089693395129e-01	2.77920289784833e+00
0.0029025             	4.68987638861489e-01	2.77934176789588e+00
0.002903              	4.68891515813959e-01	2.77947235292450e+00
0.0029035             	4.68801177560091e-01	2.77959492129262e+00
0.002904              	4.68716726960196e-01	2.77970908574176e+00
0.0029045             	4.68638109354032e-01	2.77981533348336e+00
0.002905              	4.68580038689120e-01	2.77991411861727e+00
0.0029055             	4.68526400724401e-01	2.78000499769892e+00
0.002906              	4.68477268401911e-01	2.78008871978306e+00
0.0029065             	4.68432795548601e-01	2.78016519410287e+00
0.002907              	4.68393126983452e-01	2.78023468286596e+00
0.0029075             	4.68358313421862e-01	2.78029791082572e+00
0.002908              	4.68328399710886e-01	2.78036805869165e+00
0.0029085             	4.68303391012929e-01	2.78043406764902e+00
0.002909              	4.68283398467645e-01	2.78050332387436e+00
0.0029095             	4.68268388607235e-01	2.78056658660553e+00
0.00291               	4.68258591642195e-01	2.78062450072108e+00
0.0029105             	4.68253915947368e-01	2.78067736685113e+00
0.002911              	4.68254549208414e-01	2.78072462555240e+00
0.0029115             	4.68260557856581e-01	2.78076685211170e+00
0.002912              	4.68271656730308e-01	2.78080413028711e+00
0.0029125             	4.68287963470370e-01	2.78083661929710e+00
0.002913              	4.68309402211132e-01	2.78086443709651e+00
0.0029135             	4.68335801045330e-01	2.78088763913340e+00
0.002914              	4.68367477911254e-01	2.78090660450707e+00
0.0029145             	4.68404099571615e-01	2.78092060584041e+00
0.002915              	4.68445736695521e-01	2.78092981711859e+00
0.0029155             	4.68492289080447e-01	2.78093525122628e+00
0.002916              	4.68543758205011e-01	2.78093742377581e+00
0.0029165             	4.68600127697942e-01	2.78093642292808e+00
0.002917              	4.68661332268361e-01	2.78093309873775e+00
0.0029175             	4.68727335094626e-01	2.78092731110345e+00
0.002918              	4.68792447892124e-01	2.78091916927643e+00
0.0029185             	4.68862649282834e-01	2.78090894730040e+00
0.002919              	4.68937822492795e-01	2.78089720760885e+00
0.0029195             	4.69017872659686e-01	2.78088502583760e+00
0.00292               	4.69102789065542e-01	2.78086946522127e+00
0.0029205             	4.69192366961707e-01	2.78084454038278e+00
0.002921              	4.69286622595479e-01	2.78081915092660e+00
0.0029215             	4.69385435566201e-01	2.78079461094984e+00
0.002922              	4.69488715753984e-01	2.78076554399589e+00
0.0029225             	4.69596378512076e-01	2.78074136306987e+00
0.002923              	4.69708353266862e-01	2.78071728955821e+00
0.0029235             	4.69824595536835e-01	2.78069422740541e+00
0.002924              	4.69944942607225e-01	2.78067189361239e+00
0.0029245             	4.70069388045554e-01	2.78065017510022e+00
0.002925              	4.70197930294914e-01	2.78062886482406e+00
0.0029255             	4.70330527855906e-01	2.78060761461260e+00
0.002926              	4.70467120756701e-01	2.78058623952824e+00
0.0029265             	4.70607671911927e-01	2.78056442944827e+00
0.002927              	4.70752069881088e-01	2.78054185269598e+00
0.0029275             	4.70900291160280e-01	2.78051802592252e+00
0.002928              	4.71052264865826e-01	2.78049248825272e+00
0.0029285             	4.71207951795984e-01	2.78046483229078e+00
0.002929              	4.71367295484286e-01	2.78043456231898e+00
0.0029295             	4.71530249919119e-01	2.78040109284148e+00
0.00293               	4.71696763105060e-01	2.78036389516859e+00
0.0029305             	4.71866808431394e-01	2.78032238622796e+00
0.002931              	4.72040344649792e-01	2.78027639122517e+00
0.0029315             	4.72217159201522e-01	2.78023157074729e+00
0.002932              	4.72397094473942e-01	2.78022717345296e+00
0.0029325             	4.72580383200303e-01	2.78022111265248e+00
0.002933              	4.72766966506008e-01	2.78021203073976e+00
0.0029335             	4.72956875797358e-01	2.78019906732127e+00
0.002934              	4.73150049750113e-01	2.78018181312626e+00
0.0029345             	4.73346442819776e-01	2.78016005868779e+00
0.002935              	4.73546002210319e-01	2.78013353435374e+00
0.0029355             	4.73748716830146e-01	2.78010187292843e+00
0.002936              	4.73954534737239e-01	2.78006506900461e+00
0.0029365             	4.74163441483093e-01	2.78002295122877e+00
0.002937              	4.74375384130147e-01	2.77997517401381e+00
0.0029375             	4.74590358657188e-01	2.77992137759720e+00
0.002938              	4.74808319462820e-01	2.77986149130693e+00
0.0029385             	4.75029254415995e-01	2.77979518661520e+00
0.002939              	4.75253076956033e-01	2.77972244136251e+00
0.0029395             	4.75479751083362e-01	2.77964309409899e+00
0.00294               	4.75709256706632e-01	2.77955708350447e+00
0.0029405             	4.75941555283705e-01	2.77946427668126e+00
