time	WettedArea_bottom	maxU
6.13e-05	4.4383149184756e-06	9.2873097206086e-07
6.14e-05	4.438314918476e-06	9.2651350756625e-07
6.15e-05	4.4383149184763e-06	9.2430290700516e-07
6.16e-05	4.4383149184767e-06	9.2209914710379e-07
6.17e-05	4.438314918477e-06	9.199022046486e-07
6.18e-05	4.4383149184774e-06	9.1771205648395e-07
6.19e-05	4.4383149184777e-06	9.1552867951424e-07
6.2e-05	4.4383149184781e-06	9.1335205070442e-07
6.21e-05	4.4383149184784e-06	9.1118214707882e-07
6.22e-05	4.4383149184788e-06	9.0901894572107e-07
6.23e-05	4.4383149184791e-06	9.0686242377471e-07
6.24e-05	4.4383149184795e-06	9.0471255844397e-07
6.25e-05	4.4383149184798e-06	9.0256932699372e-07
6.26e-05	4.4383149184802e-06	9.0043270674946e-07
6.27e-05	4.4383149184805e-06	8.9830267509808e-07
6.28e-05	4.4383149184808e-06	8.9617920948699e-07
6.29e-05	4.4383149184812e-06	8.9406228742487e-07
6.3e-05	4.4383149184815e-06	8.9195188648305e-07
6.31e-05	4.4383149184819e-06	8.8984798429375e-07
6.32e-05	4.4383149184822e-06	8.8775055855161e-07
6.33e-05	4.4383149184825e-06	8.8565958701432e-07
6.34e-05	4.4383149184829e-06	8.8357504750199e-07
6.35e-05	4.4383149184832e-06	8.814969178989e-07
6.36e-05	4.4383149184835e-06	8.7942517615111e-07
6.37e-05	4.4383149184839e-06	8.7735980026704e-07
6.38e-05	4.4383149184842e-06	8.7530076831883e-07
6.39e-05	4.4383149184845e-06	8.7324805844212e-07
6.4e-05	4.4383149184849e-06	8.712016488355e-07
6.41e-05	4.4383149184852e-06	8.6916151776185e-07
6.42e-05	4.4383149184855e-06	8.6712764354822e-07
6.43e-05	4.4383149184858e-06	8.6510000458413e-07
6.44e-05	4.4383149184862e-06	8.6307857932464e-07
6.45e-05	4.4383149184865e-06	8.6106334628932e-07
6.46e-05	4.4383149184868e-06	8.5905428405998e-07
6.47e-05	4.4383149184871e-06	8.5705137128011e-07
6.48e-05	4.4383149184875e-06	8.5505458665636e-07
6.49e-05	4.4383149184878e-06	8.5306390895891e-07
6.5e-05	4.4383149184881e-06	8.5107931702261e-07
6.51e-05	4.4383149184884e-06	8.4910078974757e-07
6.52e-05	4.4383149184887e-06	8.4712830609921e-07
6.53e-05	4.4383149184891e-06	8.4516184510729e-07
